country,year,female_age,male_age,source,women_dataprocess,women_datacatalogshortname,men_dataprocess,men_datacatalogshortname
Bulgaria,1999,23.700001,27.299999,OECD,N/A,N/A,N/A,N/A
Bulgaria,2000,24.700001,28.5,OECD,N/A,N/A,N/A,N/A
Bulgaria,2001,24.700001,28.4,OECD,N/A,N/A,N/A,N/A
Bulgaria,2002,24.6,28.200001,OECD,N/A,N/A,N/A,N/A
Bulgaria,2003,25,28.5,OECD,N/A,N/A,N/A,N/A
Bulgaria,2004,25.299999,28.799999,OECD,N/A,N/A,N/A,N/A
Bulgaria,2005,25.6,29.1,OECD,N/A,N/A,N/A,N/A
Bulgaria,2006,25.700001,29.200001,OECD,N/A,N/A,N/A,N/A
Bulgaria,2007,25.799999,29.1,OECD,N/A,N/A,N/A,N/A
Bulgaria,2008,25.9,29.200001,OECD,N/A,N/A,N/A,N/A
Bulgaria,2009,26.200001,29.4,OECD,N/A,N/A,N/A,N/A
Bulgaria,2010,26.6,29.799999,OECD,N/A,N/A,N/A,N/A
Bulgaria,2011,26.6,29.9,OECD,N/A,N/A,N/A,N/A
Bulgaria,2013,26.700001,30,OECD,N/A,N/A,N/A,N/A
Bulgaria,2014,26.9,30.299999,OECD,N/A,N/A,N/A,N/A
Bulgaria,2015,27,30.4,OECD,N/A,N/A,N/A,N/A
Bulgaria,2016,27.1,30.5,OECD,N/A,N/A,N/A,N/A
Bulgaria,2017,27.299999,30.6,OECD,N/A,N/A,N/A,N/A
Burkina Faso,1960,16.799999,26.4,UN World Marriage Data 2019,Survey,1960-1961 ED,Survey,1960-1961 ED
Burkina Faso,1984,18.5,25.700001,UN World Marriage Data 2019,Survey,1984 ED,Survey,1984 ED
Burkina Faso,1991,19,27.6,UN World Marriage Data 2019,Survey,1991 ED,Survey,1991 ED
Burkina Faso,1992,18.200001,26,UN World Marriage Data 2019,Survey,1993 DHS,Survey,1993 DHS
Burkina Faso,1998,18.9,26.4,UN World Marriage Data 2019,Survey,1998-1999 DHS,Survey,1998-1999 DHS
Burkina Faso,2003,19.4,26.1,UN World Marriage Data 2019,Survey,2003 DHS,Survey,2003 DHS
Burkina Faso,2006,20.299999,,UN World Marriage Data 2019,Survey,2006 MICS,N/A,N/A
Burkina Faso,2010,19.5,25.299999,UN World Marriage Data 2019,Survey,2010 DHS-MICS,Survey,2010 DHS-MICS
Burkina Faso,2017,20,26.4,UN World Marriage Data 2019,Survey,2017 MIS,Survey,2017 MIS
Burundi,1970,21.700001,23.700001,UN World Marriage Data 2019,Survey,1970-1971 DS,Survey,1970-1971 DS
Burundi,1987,21.799999,,UN World Marriage Data 2019,Survey,1987 DHS,N/A,N/A
Burundi,2000,23.4,26.200001,UN World Marriage Data 2019,Survey,2000 MICS_HH,Survey,2000 MICS_HH
Burundi,2002,23.700001,26.1,UN World Marriage Data 2019,Survey,2002 Survey,Survey,2002 Survey
Burundi,2005,21.6,25.5,UN World Marriage Data 2019,Survey,2005 MICS,Survey,2005 MICS_HH
Burundi,2010,22.1,25.4,UN World Marriage Data 2019,Survey,2010 DHS,Survey,2010 DHS
Burundi,2016,22.799999,26.1,UN World Marriage Data 2019,Survey,2016 DHS,Survey,2016 DHS
Cape Verde,1960,23.299999,27.6,UN World Marriage Data 2019,Census,1960 Census,Census,1960 Census
Cape Verde,1970,22,29.200001,UN World Marriage Data 2019,Census,1970 Census,Census,1970 Census
Cape Verde,1980,23.6,27.299999,UN World Marriage Data 2019,Census,1980 Census,Census,1980 Census
Cape Verde,1990,25.700001,28.1,UN World Marriage Data 2019,Census,1990 Census,Census,1990 Census
Cape Verde,2000,24.6,28.799999,UN World Marriage Data 2019,Census,2000 Census,Census,2000 Census
Cambodia,1998,22.1,,UN World Marriage Data 2019,Survey,1998 DHS Special,N/A,N/A
Cambodia,2000,22.299999,,UN World Marriage Data 2019,Survey,2000 DHS,N/A,N/A
Cambodia,2004,22.799999,24.6,UN World Marriage Data 2019,Survey,2004 ICPS,Survey,2004 ICPS
Cambodia,2005,22.6,24.4,UN World Marriage Data 2019,Survey,2005 DHS,Survey,2005 DHS
Cambodia,2010,22,24.9,UN World Marriage Data 2019,Survey,2010 DHS,Survey,2010 DHS
Cambodia,2014,21.6,24.5,UN World Marriage Data 2019,Survey,2014 DHS,Survey,2014 DHS
Cameroon,1991,19.1,,UN World Marriage Data 2019,Survey,1991 DHS,N/A,N/A
Cameroon,1998,20.200001,26.700001,UN World Marriage Data 2019,Survey,1998 DHS,Survey,1998 DHS
Cameroon,2000,22.700001,28.1,UN World Marriage Data 2019,Survey,2000 MICS_HH,Survey,2000 MICS_HH
Cameroon,2004,20.1,25,UN World Marriage Data 2019,Survey,2004 DHS,Survey,2004 DHS
Cameroon,2006,22.1,,UN World Marriage Data 2019,Survey,2006 MICS,N/A,N/A
Cameroon,2011,21.299999,27.200001,UN World Marriage Data 2019,Survey,2011 DHS-MICS,Survey,2011 DHS-MICS
Cameroon,2014,22.200001,28.5,UN World Marriage Data 2019,Survey,2014 MICS,Survey,2014 MICS
Canada,1990,25.5,27.6,OECD,N/A,N/A,N/A,N/A
Canada,1991,25.799999,27.799999,OECD,N/A,N/A,N/A,N/A
Canada,1992,26,28,OECD,N/A,N/A,N/A,N/A
Canada,1993,26.200001,28.200001,OECD,N/A,N/A,N/A,N/A
Canada,1994,26.299999,28.299999,OECD,N/A,N/A,N/A,N/A
Canada,1995,26.5,28.4,OECD,N/A,N/A,N/A,N/A
Canada,1996,26.700001,28.6,OECD,N/A,N/A,N/A,N/A
Canada,1997,26.9,28.799999,OECD,N/A,N/A,N/A,N/A
Canada,1998,27,28.9,OECD,N/A,N/A,N/A,N/A
Canada,1999,27.200001,29.1,OECD,N/A,N/A,N/A,N/A
Canada,2000,27.5,29.5,OECD,N/A,N/A,N/A,N/A
Canada,2001,27.700001,29.700001,OECD,N/A,N/A,N/A,N/A
Canada,2002,27.799999,29.799999,OECD,N/A,N/A,N/A,N/A
Canada,2003,28.200001,30.200001,OECD,N/A,N/A,N/A,N/A
Canada,2004,28.5,30.5,OECD,N/A,N/A,N/A,N/A
Canada,2005,28.700001,30.6,OECD,N/A,N/A,N/A,N/A
Canada,2006,28.9,30.9,OECD,N/A,N/A,N/A,N/A
Canada,2007,29,31,OECD,N/A,N/A,N/A,N/A
Canada,2008,29.1,31.1,OECD,N/A,N/A,N/A,N/A
Cayman Islands,1970,19.700001,25.4,UN World Marriage Data 2019,Census,1970 Census,Census,1970 Census
Cayman Islands,1979,25.5,27.299999,UN World Marriage Data 2019,Census,1979 Census,Census,1979 Census
Cayman Islands,1989,25.200001,27.6,UN World Marriage Data 2019,Census,1989 Census,Census,1989 Census
Cayman Islands,2010,28,29.9,UN World Marriage Data 2019,Census,2010 Census,Census,2010 Census
Central African Republic,1994,19.4,24.4,UN World Marriage Data 2019,Survey,1994-1995 DHS,Survey,1994-1995 DHS
Central African Republic,2000,17.9,24.799999,UN World Marriage Data 2019,Survey,2000 MICS,Survey,2000 MICS_HH
Central African Republic,2006,17,,UN World Marriage Data 2019,Survey,2006 MICS,N/A,N/A
Central African Republic,2010,17.299999,21.700001,UN World Marriage Data 2019,Survey,2010 MICS,Survey,2010 MICS
Chad,1996,18.1,24.1,UN World Marriage Data 2019,Survey,1996-1997 DHS,Survey,1996-1997 DHS
Chad,2000,18.299999,25.200001,UN World Marriage Data 2019,Survey,2000 MICS,Survey,2000 MICS_HH
Chad,2004,18.4,24.5,UN World Marriage Data 2019,Survey,2004 DHS,Survey,2004 DHS
Chad,2010,18.200001,,UN World Marriage Data 2019,Survey,2010 MICS,N/A,N/A
Chad,2014,18.799999,24.700001,UN World Marriage Data 2019,Survey,2014-2015 DHS-MICS,Survey,2014-2015 DHS-MICS
Channel Islands,1981,24.6,26.5,UN World Marriage Data 2019,Census,1981 Census,Census,1981 Census
Channel Islands,1986,26.799999,28.200001,UN World Marriage Data 2019,Census,1986 Census,Census,1986 Census
Channel Islands,1991,28.200001,29.299999,UN World Marriage Data 2019,Census,1991 Census,Census,1991 Census
Channel Islands,2001,29.700001,31.299999,UN World Marriage Data 2019,Census,2001 Census,Census,2001 Census
Chile,1997,24.9,27,OECD,N/A,N/A,N/A,N/A
Chile,1998,25.200001,27.299999,OECD,N/A,N/A,N/A,N/A
Chile,1999,25.5,27.5,OECD,N/A,N/A,N/A,N/A
Chile,2000,25.6,27.700001,OECD,N/A,N/A,N/A,N/A
Chile,2001,25.9,28,OECD,N/A,N/A,N/A,N/A
Chile,2002,26.299999,28.4,OECD,N/A,N/A,N/A,N/A
Chile,2003,26.6,28.700001,OECD,N/A,N/A,N/A,N/A
Chile,2004,26.799999,28.9,OECD,N/A,N/A,N/A,N/A
Chile,2005,27.299999,29.6,OECD,N/A,N/A,N/A,N/A
Chile,2006,27.4,29.299999,OECD,N/A,N/A,N/A,N/A
Chile,2007,27.700001,29.5,OECD,N/A,N/A,N/A,N/A
Chile,2008,28.1,29.799999,OECD,N/A,N/A,N/A,N/A
Chile,2009,29,30.299999,OECD,N/A,N/A,N/A,N/A
Chile,2010,29.9,31.299999,OECD,N/A,N/A,N/A,N/A
Chile,2011,30.200001,31.5,OECD,N/A,N/A,N/A,N/A
Chile,2012,30,31.299999,OECD,N/A,N/A,N/A,N/A
Chile,2013,28.5,30.4,OECD,N/A,N/A,N/A,N/A
Chile,2014,29.700001,31.1,OECD,N/A,N/A,N/A,N/A
Chile,2015,30.9,32.200001,OECD,N/A,N/A,N/A,N/A
Chile,2016,31.5,32.700001,OECD,N/A,N/A,N/A,N/A
China,1995,22.6,24.200001,UN World Marriage Data 2019,Survey,1995 One-percent Survey,Survey,1995 One-percent Survey
China,2005,23.5,25.6,UN World Marriage Data 2019,Survey,2005 One-percent Survey,Survey,2005 One-percent Survey
China,2013,24.4,26.200001,UN World Marriage Data 2019,Survey,2013 Annual APC,Survey,2013 Annual APC
China,2015,24.799999,26.9,UN World Marriage Data 2019,Survey,2015 Annual APC,Survey,2015 Annual APC
